age,gender,annual_income,monthly_income,employment_status,employment_duration,existing_debt,monthly_expenses,savings,loan_amount,loan_purpose,loan_term,existing_loans,credit_history_length,previous_defaults,late_payments,payment_behaviour,credit_utilization,outstanding_credit_balance,target
25,male,82690.23,6890.85,employed,0.8,9685.02,2588.57,11678.34,13413.15,education,60,4,5.9,0,0,irregular,0.479,2820.7,1
58,male,50373.9,4197.83,employed,12.1,22069.86,3517.52,5953.77,15643.87,medical,24,5,31.2,0,0,consistent,0.148,15477.41,1
52,female,60711.47,5059.29,employed,0.0,13935.54,1904.57,1705.87,19779.89,education,60,5,33.9,0,1,consistent,0.183,11362.49,1
42,male,58997.03,4916.42,employed,1.1,0.0,2599.31,1771.57,34584.28,medical,60,6,20.1,0,0,poor,0.473,0.0,0
41,female,40262.52,3355.21,self_employed,7.2,21072.75,2945.01,3746.76,500.0,business,48,2,19.2,0,2,irregular,0.477,17120.11,0
62,male,79214.12,6601.18,self_employed,12.2,14753.58,5883.99,6237.26,26642.4,debt_consolidation,36,4,34.3,0,1,consistent,0.492,5506.91,1
25,male,78906.47,6575.54,employed,6.8,44122.58,6019.14,30879.93,500.0,auto,12,6,0.0,1,0,consistent,0.292,27625.12,0
54,male,77432.42,6452.7,employed,7.8,30487.25,4010.67,8093.66,32330.82,debt_consolidation,48,4,35.0,0,0,consistent,0.585,7828.04,1
30,male,101961.11,8496.76,employed,5.6,21533.8,3833.18,1926.53,500.0,home,36,1,9.6,1,1,consistent,0.716,12795.11,0
25,not_specified,99682.96,8306.91,employed,1.4,15990.05,5217.81,7621.91,43800.34,debt_consolidation,36,3,0.0,0,0,consistent,0.432,10346.79,1
46,male,52251.44,4354.29,employed,3.5,14964.67,1777.94,26483.53,12712.55,business,12,1,22.4,0,1,consistent,0.41,9742.98,1
67,male,71699.36,5974.95,employed,0.7,955.73,5062.84,1926.2,31194.21,education,36,1,45.0,0,0,consistent,0.254,712.16,1
56,female,45786.38,3815.53,employed,0.4,0.0,2554.52,1735.16,28925.72,medical,48,2,36.1,0,0,minor_delays,0.803,0.0,1
57,female,62607.24,5217.27,employed,7.1,2529.29,3028.98,265.74,12198.62,medical,24,2,32.7,0,0,consistent,0.158,999.05,1
55,female,46406.51,3867.21,employed,1.0,12427.4,1528.83,7001.57,13042.76,debt_consolidation,48,1,35.3,0,1,consistent,0.213,8514.57,0
58,female,104121.83,8676.82,retired,6.8,0.0,5041.12,377.78,7791.25,education,60,6,37.6,0,0,irregular,0.366,0.0,1
45,female,71456.15,5954.68,unemployed,0.3,6468.14,5024.14,41666.96,25661.07,personal,36,0,26.1,1,1,consistent,0.217,5592.46,1
27,female,56331.24,4694.27,employed,6.7,10028.64,3525.12,18181.42,12341.85,education,24,1,8.3,1,1,irregular,0.174,7510.71,0
61,female,93034.08,7752.84,employed,3.5,10414.88,3077.87,1205.31,7991.18,debt_consolidation,24,2,39.7,0,0,consistent,0.501,5516.62,1
42,male,12000.0,1000.0,employed,11.1,5059.32,500.0,2188.46,22910.04,personal,36,3,17.2,0,1,minor_delays,0.722,2902.14,0
45,male,12000.0,1000.0,employed,6.8,8901.83,573.62,2397.93,7131.06,auto,60,2,21.3,0,0,consistent,0.538,5891.14,0
38,male,82691.81,6890.98,student,10.4,33686.73,2810.03,879.02,13381.19,auto,48,1,14.1,0,2,irregular,0.327,6978.53,0
29,female,63572.18,5297.68,employed,2.5,20945.74,4674.69,13082.34,18178.16,home,60,3,5.4,0,0,consistent,0.552,9529.24,1
65,female,68511.6,5709.3,employed,5.7,6276.39,4121.01,12063.53,9933.28,medical,72,1,45.0,0,1,consistent,0.445,1790.85,1
58,male,27513.7,2292.81,student,1.6,12179.83,926.41,2492.41,11592.96,medical,24,1,34.9,0,1,consistent,0.363,4477.4,1
51,male,61395.92,5116.33,employed,3.8,12660.24,4088.93,11954.56,33884.82,education,48,3,33.1,0,3,irregular,0.727,9883.28,0
40,female,114091.24,9507.6,employed,4.5,3784.53,5324.18,8755.27,14753.41,debt_consolidation,36,6,20.8,0,0,consistent,0.341,2209.9,1
