synthetic_id,source_relative_path,actor_id,label,split,variant,recipe,seed
01_03-01-01-01-01-01-01_aug1,Actor_01/03-01-01-01-01-01-01.wav,01,neutral,train,1,gain_shift_colored_noise,20260805
01_03-01-01-01-01-01-01_aug2,Actor_01/03-01-01-01-01-01-01.wav,01,neutral,train,2,room_echo_smoothing_noise,20260806
01_03-01-01-01-01-01-01_aug3,Actor_01/03-01-01-01-01-01-01.wav,01,neutral,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-01-01-01-02-01_aug1,Actor_01/03-01-01-01-01-02-01.wav,01,neutral,train,1,gain_shift_colored_noise,20260805
01_03-01-01-01-01-02-01_aug2,Actor_01/03-01-01-01-01-02-01.wav,01,neutral,train,2,room_echo_smoothing_noise,20260806
01_03-01-01-01-01-02-01_aug3,Actor_01/03-01-01-01-01-02-01.wav,01,neutral,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-01-01-02-01-01_aug1,Actor_01/03-01-01-01-02-01-01.wav,01,neutral,train,1,gain_shift_colored_noise,20260805
01_03-01-01-01-02-01-01_aug2,Actor_01/03-01-01-01-02-01-01.wav,01,neutral,train,2,room_echo_smoothing_noise,20260806
01_03-01-01-01-02-01-01_aug3,Actor_01/03-01-01-01-02-01-01.wav,01,neutral,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-01-01-02-02-01_aug1,Actor_01/03-01-01-01-02-02-01.wav,01,neutral,train,1,gain_shift_colored_noise,20260805
01_03-01-01-01-02-02-01_aug2,Actor_01/03-01-01-01-02-02-01.wav,01,neutral,train,2,room_echo_smoothing_noise,20260806
01_03-01-01-01-02-02-01_aug3,Actor_01/03-01-01-01-02-02-01.wav,01,neutral,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-02-01-01-01-01_aug1,Actor_01/03-01-02-01-01-01-01.wav,01,neutral,train,1,gain_shift_colored_noise,20260805
01_03-01-02-01-01-01-01_aug2,Actor_01/03-01-02-01-01-01-01.wav,01,neutral,train,2,room_echo_smoothing_noise,20260806
01_03-01-02-01-01-01-01_aug3,Actor_01/03-01-02-01-01-01-01.wav,01,neutral,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-02-01-01-02-01_aug1,Actor_01/03-01-02-01-01-02-01.wav,01,neutral,train,1,gain_shift_colored_noise,20260805
01_03-01-02-01-01-02-01_aug2,Actor_01/03-01-02-01-01-02-01.wav,01,neutral,train,2,room_echo_smoothing_noise,20260806
01_03-01-02-01-01-02-01_aug3,Actor_01/03-01-02-01-01-02-01.wav,01,neutral,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-02-01-02-01-01_aug1,Actor_01/03-01-02-01-02-01-01.wav,01,neutral,train,1,gain_shift_colored_noise,20260805
01_03-01-02-01-02-01-01_aug2,Actor_01/03-01-02-01-02-01-01.wav,01,neutral,train,2,room_echo_smoothing_noise,20260806
01_03-01-02-01-02-01-01_aug3,Actor_01/03-01-02-01-02-01-01.wav,01,neutral,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-02-01-02-02-01_aug1,Actor_01/03-01-02-01-02-02-01.wav,01,neutral,train,1,gain_shift_colored_noise,20260805
01_03-01-02-01-02-02-01_aug2,Actor_01/03-01-02-01-02-02-01.wav,01,neutral,train,2,room_echo_smoothing_noise,20260806
01_03-01-02-01-02-02-01_aug3,Actor_01/03-01-02-01-02-02-01.wav,01,neutral,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-02-02-01-01-01_aug1,Actor_01/03-01-02-02-01-01-01.wav,01,neutral,train,1,gain_shift_colored_noise,20260805
01_03-01-02-02-01-01-01_aug2,Actor_01/03-01-02-02-01-01-01.wav,01,neutral,train,2,room_echo_smoothing_noise,20260806
01_03-01-02-02-01-01-01_aug3,Actor_01/03-01-02-02-01-01-01.wav,01,neutral,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-02-02-01-02-01_aug1,Actor_01/03-01-02-02-01-02-01.wav,01,neutral,train,1,gain_shift_colored_noise,20260805
01_03-01-02-02-01-02-01_aug2,Actor_01/03-01-02-02-01-02-01.wav,01,neutral,train,2,room_echo_smoothing_noise,20260806
01_03-01-02-02-01-02-01_aug3,Actor_01/03-01-02-02-01-02-01.wav,01,neutral,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-02-02-02-01-01_aug1,Actor_01/03-01-02-02-02-01-01.wav,01,neutral,train,1,gain_shift_colored_noise,20260805
01_03-01-02-02-02-01-01_aug2,Actor_01/03-01-02-02-02-01-01.wav,01,neutral,train,2,room_echo_smoothing_noise,20260806
01_03-01-02-02-02-01-01_aug3,Actor_01/03-01-02-02-02-01-01.wav,01,neutral,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-02-02-02-02-01_aug1,Actor_01/03-01-02-02-02-02-01.wav,01,neutral,train,1,gain_shift_colored_noise,20260805
01_03-01-02-02-02-02-01_aug2,Actor_01/03-01-02-02-02-02-01.wav,01,neutral,train,2,room_echo_smoothing_noise,20260806
01_03-01-02-02-02-02-01_aug3,Actor_01/03-01-02-02-02-02-01.wav,01,neutral,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-03-01-01-01-01_aug1,Actor_01/03-01-03-01-01-01-01.wav,01,happy,train,1,gain_shift_colored_noise,20260805
01_03-01-03-01-01-01-01_aug2,Actor_01/03-01-03-01-01-01-01.wav,01,happy,train,2,room_echo_smoothing_noise,20260806
01_03-01-03-01-01-01-01_aug3,Actor_01/03-01-03-01-01-01-01.wav,01,happy,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-03-01-01-02-01_aug1,Actor_01/03-01-03-01-01-02-01.wav,01,happy,train,1,gain_shift_colored_noise,20260805
01_03-01-03-01-01-02-01_aug2,Actor_01/03-01-03-01-01-02-01.wav,01,happy,train,2,room_echo_smoothing_noise,20260806
01_03-01-03-01-01-02-01_aug3,Actor_01/03-01-03-01-01-02-01.wav,01,happy,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-03-01-02-01-01_aug1,Actor_01/03-01-03-01-02-01-01.wav,01,happy,train,1,gain_shift_colored_noise,20260805
01_03-01-03-01-02-01-01_aug2,Actor_01/03-01-03-01-02-01-01.wav,01,happy,train,2,room_echo_smoothing_noise,20260806
01_03-01-03-01-02-01-01_aug3,Actor_01/03-01-03-01-02-01-01.wav,01,happy,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-03-01-02-02-01_aug1,Actor_01/03-01-03-01-02-02-01.wav,01,happy,train,1,gain_shift_colored_noise,20260805
01_03-01-03-01-02-02-01_aug2,Actor_01/03-01-03-01-02-02-01.wav,01,happy,train,2,room_echo_smoothing_noise,20260806
01_03-01-03-01-02-02-01_aug3,Actor_01/03-01-03-01-02-02-01.wav,01,happy,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-03-02-01-01-01_aug1,Actor_01/03-01-03-02-01-01-01.wav,01,happy,train,1,gain_shift_colored_noise,20260805
01_03-01-03-02-01-01-01_aug2,Actor_01/03-01-03-02-01-01-01.wav,01,happy,train,2,room_echo_smoothing_noise,20260806
01_03-01-03-02-01-01-01_aug3,Actor_01/03-01-03-02-01-01-01.wav,01,happy,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-03-02-01-02-01_aug1,Actor_01/03-01-03-02-01-02-01.wav,01,happy,train,1,gain_shift_colored_noise,20260805
01_03-01-03-02-01-02-01_aug2,Actor_01/03-01-03-02-01-02-01.wav,01,happy,train,2,room_echo_smoothing_noise,20260806
01_03-01-03-02-01-02-01_aug3,Actor_01/03-01-03-02-01-02-01.wav,01,happy,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-03-02-02-01-01_aug1,Actor_01/03-01-03-02-02-01-01.wav,01,happy,train,1,gain_shift_colored_noise,20260805
01_03-01-03-02-02-01-01_aug2,Actor_01/03-01-03-02-02-01-01.wav,01,happy,train,2,room_echo_smoothing_noise,20260806
01_03-01-03-02-02-01-01_aug3,Actor_01/03-01-03-02-02-01-01.wav,01,happy,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-03-02-02-02-01_aug1,Actor_01/03-01-03-02-02-02-01.wav,01,happy,train,1,gain_shift_colored_noise,20260805
01_03-01-03-02-02-02-01_aug2,Actor_01/03-01-03-02-02-02-01.wav,01,happy,train,2,room_echo_smoothing_noise,20260806
01_03-01-03-02-02-02-01_aug3,Actor_01/03-01-03-02-02-02-01.wav,01,happy,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-04-01-01-01-01_aug1,Actor_01/03-01-04-01-01-01-01.wav,01,sad,train,1,gain_shift_colored_noise,20260805
01_03-01-04-01-01-01-01_aug2,Actor_01/03-01-04-01-01-01-01.wav,01,sad,train,2,room_echo_smoothing_noise,20260806
01_03-01-04-01-01-01-01_aug3,Actor_01/03-01-04-01-01-01-01.wav,01,sad,train,3,same_emotion_blend_spectral_tilt_dropout,20260807
01_03-01-04-01-01-02-01_aug1,Actor_01/03-01-04-01-01-02-01.wav,01,sad,train,1,gain_shift_colored_noise,20260805
01_03-01-04-01-01-02-01_aug2,Actor_01/03-01-04-01-01-02-01.wav,01,sad,train,2,room_echo_smoothing_noise,20260806
